geodb_oid,NAME,ADDRESS,OBJECTID
1,Station 33,3800 69 ST SW,1
2,Station 21,209 SILVERGROVE DR NW,2
3,Station 1,450 1 ST SE,3
4,Station 2,1010 10 AV SW,4
5,Station 5,3129 14 ST SW,5
6,Station 7,2708 4 ST NW,6
7,Station 8,1720 45 ST SW,7
8,Station 9,2515 78 AV SE,8
9,Station 10,1909 16 AV NW,9
10,Station 11,5536 4 ST SW,10
11,Station 12,123 44 ST SE,11
12,Station 13,2021 78 AV NE,12
13,Station 14,9840 HORTON RD SW,13
14,Station 15,6328 35 AV NW,14
15,Station 17,3740 32 AV NW,15
16,Station 18,415 68 AV NW,16
17,Station 19,13807 PARKLAND BV SE,17
18,Station 20,2800 PEACEKEEPERS WY SW,18
19,Station 28,7925 EDGEMONT BV NW,19
20,Station 22,7199 TEMPLE DR NE,20
21,Station 23,2727 26 AV SE,21
22,Station 24,2607 106 AV SW,22
23,Station 25,4705 76 AV SE,23
24,Station 29,7027 COACH HILL RD SW,24
25,Station 30,6 McKENZIE TOWNE GA SE,25
26,Station 31,11955 COUNTRY VILLAGE LI  NE,26
27,Station 36,10071 HIDDEN VALLEY DR NW,27
28,Station 26,450 MIDPARK WY SE,28
29,Station 4,1991 18 AV NE,29
30,Station 37,2375 162 AV SW,30
31,Station 16 HQ,4124 11 ST SE,31
32,Station 32,206 SADDLEBACK RD NE,32
33,Station 34,1 ROYAL BIRCH HL NW,33
34,Station 35,11280 VALLEY RIDGE BV NW,34
35,Station 38,3 SKYVIEW SPRINGS CV NE,35
36,Station 6,360 8 ST SW,36
